RCPT_YR,CGG_CD,CGG_NM,STDG_CD,STDG_NM,LOTNO_SE,LOTNO_SE_NM,MNO,SNO,BLDG_NM,CTRT_DAY,THING_AMT,ARCH_AREA,LAND_AREA,FLR,RGHT_SE,RTRCN_DAY,ARCH_YR,BLDG_USG,DCLR_SE,OPBIZ_RESTAGNT_SGG_NM
2025,11470,양천구,10100,신정동,1,대지,1327,0000,호반써밋목동,2025-03-09,133000,84.982,0.0,16.0,,,2022,아파트,중개거래,서울 양천구
2025,11590,동작구,10200,상도동,1,대지,0531,0000,힐스테이트 상도 센트럴파크,2025-03-09,148000,84.783,0.0,15.0,,,2012,아파트,중개거래,서울 동작구
2025,11290,성북구,13300,정릉동,1,대지,0210,0000,정릉푸른마을동아,2025-03-09,64500,84.96,0.0,14.0,,,2003,아파트,중개거래,서울 성북구
2025,11545,금천구,10200,독산동,1,대지,0883,0021,동은5차,2025-03-09,48000,80.47,0.0,6.0,,,2004,아파트,중개거래,서울 금천구
2025,11470,양천구,10100,신정동,1,대지,1259,0000,신트리1,2025-03-09,60000,49.8,0.0,13.0,,,1999,아파트,중개거래,서울 양천구
2025,11200,성동구,11300,옥수동,1,대지,0004,0000,현대,2025-03-09,145000,71.05,0.0,10.0,,,1990,아파트,중개거래,서울 성동구
2025,11590,동작구,10200,상도동,1,대지,0900,0000,상도파크자이,2025-03-09,174000,84.918,0.0,16.0,,,2016,아파트,중개거래,"서울 동작구, 서울 성동구"
2025,11290,성북구,11200,삼선동2가,1,대지,0425,0000,삼선푸르지오,2025-03-09,74700,59.95,0.0,9.0,,,2008,아파트,중개거래,서울 성북구
2025,11410,서대문구,11800,홍은동,1,대지,0010,0209,홍은그랜드빌,2025-03-09,26800,47.35,41.0,3.0,,,2018,연립다세대,중개거래,"서울 서대문구, 서울 종로구"
2025,11305,강북구,10200,번동,1,대지,0443,0025,정원맨션,2025-03-09,32000,60.72,31.0,5.0,,,2002,연립다세대,중개거래,서울 강북구
2025,11260,중랑구,10100,면목동,1,대지,0193,0001,면목한신,2025-03-09,32500,35.3,0.0,8.0,,,1987,아파트,중개거래,서울 중랑구
2025,11590,동작구,10700,사당동,1,대지,0105,0000,극동(105),2025-03-09,117000,119.5,0.0,10.0,,,1993,아파트,중개거래,서울 동작구
2025,11500,강서구,10900,방화동,1,대지,0852,0000,마곡중앙하이츠아파트,2025-03-09,56000,59.34,0.0,15.0,,,1994,아파트,중개거래,서울 강서구
2025,11290,성북구,13300,정릉동,1,대지,0210,0000,정릉푸른마을동아,2025-03-09,61500,84.96,0.0,4.0,,,2003,아파트,중개거래,"서울 성북구, 서울 중구"
2025,11530,구로구,10200,구로동,1,대지,0097,0002,순영웰라이빌2차,2025-03-09,43800,64.45,0.0,10.0,,20250311,2005,아파트,중개거래,서울 구로구
2025,11215,광진구,10500,자양동,1,대지,0689,0005,명상빌라,2025-03-09,122370,76.71,46.0,3.0,,,1991,연립다세대,직거래,
2025,11230,동대문구,10400,전농동,1,대지,0126,0015,(126-15),2025-03-09,24700,51.03,37.0,1.0,,,1988,연립다세대,중개거래,서울 동대문구
2025,11290,성북구,13300,정릉동,1,대지,1015,0000,길음뉴타운경남아너스빌,2025-03-09,52400,50.45,0.0,21.0,,,1999,아파트,중개거래,서울 성북구
2025,11530,구로구,10200,구로동,1,대지,0097,0002,순영웰라이빌2차,2025-03-09,43800,64.45,0.0,10.0,,,2005,아파트,중개거래,서울 구로구
2025,11200,성동구,11400,성수동1가,1,대지,0013,0117,뚝섬리버빌,2025-03-09,15470,25.1,35.52,8.0,,,2005,오피스텔,중개거래,서울 성동구
2025,11740,강동구,10200,고덕동,1,대지,0693,0000,고덕그라시움,2025-03-09,172000,73.566,0.0,14.0,,,2019,아파트,중개거래,서울 강동구
2025,11260,중랑구,10600,신내동,1,대지,0397,0000,동성1,2025-03-09,45800,59.4,0.0,13.0,,,1993,아파트,직거래,
2025,11260,중랑구,10100,면목동,1,대지,0152,0011,승일리빙하우스,2025-03-09,31000,44.51,26.0,3.0,,,2003,연립다세대,직거래,
2025,11620,관악구,10100,봉천동,2,산,0101,0000,힐스테이트 관악센트씨엘,2025-03-09,111000,59.96,0.0,7.0,입주권,,0,아파트,중개거래,서울 관악구
2025,11200,성동구,10700,행당동,1,대지,0346,0000,행당한진타운,2025-03-09,144000,84.71,0.0,19.0,,,2000,아파트,중개거래,"경기 부천시 원미구, 서울 성동구"
2025,11290,성북구,13300,정릉동,1,대지,0239,0000,정릉풍림아이원,2025-03-09,63000,114.75,0.0,1.0,,,2005,아파트,중개거래,서울 성북구
2025,11590,동작구,10700,사당동,1,대지,0309,0030,화이트빌(309-30),2025-03-09,53000,31.67,19.0,2.0,,,2014,연립다세대,중개거래,서울 동작구
2025,11530,구로구,10900,궁동,1,대지,0237,0009,현대힐타운(237-9),2025-03-09,28800,42.88,27.0,6.0,,,2017,연립다세대,중개거래,서울 구로구
2025,11410,서대문구,11200,대현동,1,대지,0040,0038,이대역 STARGATE,2025-03-09,27500,19.76,30.01,10.0,,,2021,오피스텔,중개거래,서울 서대문구
2025,11740,강동구,10300,상일동,1,대지,0513,0000,고덕센트럴IPARK,2025-03-09,160000,84.97,0.0,25.0,,,2019,아파트,중개거래,서울 강동구
2025,11380,은평구,10700,응암동,1,대지,0767,0000,백련산에스케이뷰아이파크,2025-03-08,85800,59.933,0.0,3.0,,,2020,아파트,중개거래,서울 은평구
2025,11470,양천구,10200,목동,1,대지,0903,0000,목동신시가지3,2025-03-08,179000,64.98,0.0,3.0,,,1986,아파트,중개거래,서울 양천구
2025,11410,서대문구,12000,남가좌동,1,대지,0377,0000,DMC래미안클라시스,2025-03-08,92300,84.95,0.0,17.0,,,2000,아파트,중개거래,서울 서대문구
2025,11230,동대문구,10200,용두동,1,대지,0104,0003,동대문푸르지오시티(도시형생활주택),2025-03-08,41900,30.11,0.0,19.0,,,2016,아파트,중개거래,"서울 동대문구, 인천 계양구"
